VILLES;ALIM;VETF;VETH;EQUIP;MEUBL;APPART;TRANSP;TAXI;AUTO;RESTO;HOTEL;SERVICES;SHNET
Amsterdam;354;470;790;2480;2050;1300;2,2;14,3;26395;22;110;410;9,5
Athenes;328;430;640;2420;1300;660;0,6;2,7;27800;26;80;350;6,3
Auckland;321;390;540;2200;1190;870;1,9;6;16288;29;80;350;9,6
Bangkok;282;200;450;1710;610;430;0,4;1,4;18617;22;110;230;1,4
Barcelone;368;440;660;2450;1330;900;1,1;10,8;21060;29;130;410;8,7
Berlin;348;490;640;2050;1500;720;2,1;11;20850;26;110;370;10,7
Bogota;222;350;390;1880;800;460;0,4;1,5;16979;18;70;260;1,7
Bratislava;208;200;260;1910;650;490;0,5;3,2;17932;24;90;190;2,4
Bruxelles;383;610;620;2390;1600;1080;1,5;11,8;20400;31;110;420;10,2
Bucarest;240;220;390;1860;1310;1010;0,3;2,2;15843;16;200;190;1,7
Budapest;219;390;550;2000;1550;870;0,7;6,2;15002;21;100;250;2,6
Buenos-Aires;176;160;290;1790;850;410;0,2;2,1;11542;19;60;180;2,4
Caracas;307;260;380;1910;1640;1120;0,3;3,5;12943;26;40;240;2,4
Chicago;457;600;590;1690;2860;1450;1,7;8,2;19313;30;180;430;12,4
Copenhague;458;660;640;2450;2020;1380;2,4;10,5;33237;42;120;530;12,5
Delhi;162;210;360;1770;820;450;0,2;0,7;14852;16;90;170;1
Dubai;325;330;550;1500;2400;1360;0,7;4,3;8696;33;100;390;7,5
Dublin;399;540;750;2230;2500;2010;1,3;8,6;25225;44;140;460;13,6
Francfort;354;550;760;2210;1580;1130;2,8;10,8;25545;31;110;420;11,1
Geneve;513;640;760;2630;2220;1130;1,9;13,7;23492;35;140;470;15
Helsinki;377;630;770;2500;2700;980;2,1;5,1;22020;42;120;490;11,6
Hong-Kong;398;380;610;2070;3610;3260;0,7;13,4;17093;21;160;350;4,5
Istanbul;337;410;610;2390;2190;1150;0,7;5,2;17695;37;70;360;3,4
Jakarta;286;210;330;1900;2840;590;0,2;1,8;25361;10;50;170;1,06
Johannesburg;266;220;310;2240;890;660;1;8,3;17581;14;90;290;4,9
Kiev;185;250;280;1540;2010;750;0,2;3,4;15077;22;120;240;1,5
Kuala Lumpur;151;140;200;1390;670;220;0,4;1,3;12503;10;40;120;2,4
Lima;210;190;310;1630;700;240;0,4;1,1;11833;23;90;250;2,1
Lisbonne;341;470;610;2070;1730;1100;0,9;7,2;30390;30;100;330;5
Ljubljana;294;350;480;2110;950;670;0,8;5,1;16175;19;110;290;3,7
Londres;392;530;660;2460;5170;3460;2,2;16,9;16254;53;160;530;12,5
Los Angeles;495;600;700;1660;3480;1990;1,2;9,8;13262;37;170;420;12,6
Luxembourg;477;570;620;2460;1750;1430;1,3;12,8;24675;29;120;410;12,8
Lyon;356;470;680;2520;740;650;1,7;16,3;21050;26;110;440;9,2
Madrid;360;470;620;2330;1570;1210;1,2;7,2;17400;31;110;410;8,4
Manama;307;460;510;1510;1870;1210;0,2;5,5;13115;33;110;360;4,8
Manille;205;80;140;1940;960;400;0,2;1,2;9933;15;100;210;1
Mexico;259;290;370;2270;980;710;0,2;1,6;10525;27;40;330;1,8
Miami;439;540;710;1660;1820;990;1;7,7;19065;31;150;400;9,6
Milan;394;570;740;2150;2240;970;1;8;15600;41;150;410;7,8
Montreal;398;500;670;2120;1290;1200;1,8;7,4;11995;22;110;410;10,1
Moscou;278;450;570;2250;1730;1150;0,3;4,4;24774;22;100;350;3,3
Mumbai;144;170;310;1760;3370;1640;0,2;0,9;9318;17;90;140;1,1
Munich;347;520;690;2150;1960;1170;2,7;8,2;21600;33;80;430;11
New York;460;610;710;1750;6120;3040;1,7;9,6;11393;42;200;500;13
Nicosie;317;400;540;2300;2090;1130;0,9;5,2;27838;35;170;330;9,1
Oslo;516;610;910;2600;2160;1350;3,1;13,5;32449;45;160;610;14,4
Paris;441;550;830;2480;2030;1490;1,4;12,9;17850;32;170;490;9
Pekin;233;310;450;1940;1130;790;0,3;1,4;13398;21;70;190;1,4
Prague;224;360;460;2040;980;790;0,6;5;17495;10;80;200;3,4
Riga;210;280;450;1990;1150;720;0,3;2,4;21757;20;80;210;2
Rio de Janeiro;244;430;470;2190;2240;1360;0,7;5;18887;27;100;310;2,8
Rome;404;520;640;2270;1450;1200;1;9,4;18600;29;180;380;6,5
Santiago;276;330;500;2140;2840;1700;0,6;5,8;9463;28;70;300;3,2
Sao Paulo;255;360;410;2140;2500;740;0,8;7,6;12074;25;80;320;3,8
Seoul;520;660;690;2190;3590;2910;0,7;1,6;19093;29;90;370;6,3
Shanghai;227;270;440;1860;1010;640;0,4;1,3;8245;26;60;200;1,7
Singapour;408;320;500;2320;1580;1110;0,9;5,1;40879;24;80;350;5,1
Sofia;205;210;340;2060;1050;490;0,3;2,4;12832;11;80;170;1,3
Stockholm;397;600;690;2240;1260;860;3,7;14,1;22029;33;150;500;10
Sydney;348;520;610;2150;3210;1740;2,3;10,3;12230;40;90;370;10,4
Taipei;397;470;610;1880;1390;1240;0,6;4,1;20776;30;100;280;5,6
Tallinn;256;400;500;2130;1470;480;1;4,8;16619;30;140;260;2,9
Tokyo;599;870;1100;2700;6020;1420;1,6;10,9;16428;64;230;570;11,4
Toronto;372;430;550;2080;1440;1080;2;6,8;16572;31;90;440;10,5
Varsovie;224;360;520;2040;1010;610;0,6;4,3;14291;26;80;300;2,4
Vienne;428;660;790;2710;1480;1130;1,7;10,3;21095;29;110;440;10,6
Vilnius;181;350;440;1790;910;410;0,3;3,9;22796;23;70;230;2
Zurich;532;660;870;2530;2110;1020;2,4;17,6;18435;39;140;520;16,2
